"","database","document_type","language","author","address","year","title","source","volume","article_number","abstract","doi","issn","publisher","notes","source_type","issue","start_page","end_page","keywords","place_published","pi","we","cp","filename","n_duplicates","relevant_title","relevant_keyword","relevant","screened_abstracts"
"1","scopus","article","english","hotta, w. and morimoto, j. and yanai, s. and uchida, y. and nakamura, f.","ecosystem management laboratory, graduate school of agriculture, hokkaido university, sapporo, 060-8589, japan and faculty of biological resources and environmental studies, ishikawa prefectural university, nonoichi, 921-8836, japan and environmental biogeochemistry laboratory, graduate school of agriculture, hokkaido university, sapporo, 060-8589, japan",2024,"environmental heterogeneity on landslide slopes affects the long-term recoveries of forest ecosystem components","catena","234","107578","landslides are a common disturbance in mountainous areas of the world. transporting and accumulating landslide debris, i.e., disturbance legacies, such as coarse woody debris (cwd), vegetation patches, and surface soils, generate a heterogeneous environment along slopes (zones), which are suggested to affect forest recovery. however, the long-term changes in forest ecosystems after landslides remain unknown, particularly zone-dependent change patterns. we aimed to reveal the differences in the changes in live trees, understory vegetation, cwd, and soils among zones by surveying forests with landslide ages (years since the landslide) ranging from 3 to 74 years and reference stands. the increase in live tree aboveground biomass occurred at a faster rate at the lower part of the slopes where the disturbance legacies were rich and surface soils were stabilized due to the smaller slope angle. chronological patterns of understory vegetation amounts were determined by the differences in disturbance legacy richness and the timing of subsequent canopy closure. the amounts and decay-class diversity of cwd were determined by the differences in legacy richness and mortality through stand development. these zone-dependent chronological changes influenced litter production and determined the recovery rates of surface soil carbon and nitrogen stocks. the increase in the dominance rates of forest herbaceous species was faster in the lower part of the slopes due to the faster surface soil development and canopy closure. our results illustrate that long-term forest ecosystem succession and recovery after landslides occurs more rapidly at the lower parts than at the upper parts of slopes. © 2023 elsevier b.v.","10.1016/j.catena.2023.107578","03418162 (issn)","elsevier b.v.","export date: 14 november 2023; cited by: 0; correspondence address: w. hotta; graduate school of agriculture, hokkaido university, sapporo, kita 9, nishi 9, kita ku, hokkaido, 060-8589, japan; email: w-hotter97thank-you@eis.hokudai.ac.jp; coden: cijpd","jour",NA,NA,NA,"biological legacy and dead wood and forest floor and slope failure and soil erosion and soil nutrient and aboveground biomass and coarse woody debris and disturbance and forest ecosystem and heterogeneity and landslide and mortality and soil carbon and soil erosion and soil nutrient and understory",NA,NA,NA,NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"2","scopus","article","english","nakata, y. and hayamizu, m. and ishiyama, n.","graduate school of life and environmental sciences, kyoto prefectural university, 1-5 shimogamo hangi-cho, sakyo-ku, kyoto, 606-8522, japan and forestry research institute, hokkaido research organization, higashiyama, koshunai, hokkaido, bibai, 079-0198, japan",2023,"assessing primary vegetation recovery from earthquake-induced landslide scars: a real-time kinematic unmanned aerial vehicle approach","ecological engineering","193","107019","globally, post-disturbance site formation is caused by large-scale natural disturbances. in such areas, it is necessary to restore vegetation rapidly as it regulates the outflow of sediment and water. however, the relationship between post-disturbance site vegetation recovery and environmental factors has not yet been elucidated. this study aimed to estimate the environmental factors affecting early vegetation recovery after large-scale disturbances (i.e., earthquakes). we used a novel analysis of multidimensional high-definition earth surface data derived from real-time kinematic unmanned aerial vehicles (rtk-uavs) with high positioning accuracy to reveal primary vegetation recovery conditions, accounting for ground surface changes and environmental information of earthquake-induced landslide scars in japan's boreal forests. a vegetation survey was conducted to understand the species composition and coverage that had recovered from earthquake-induced landslide scar in japan's boreal forests. the herbaceous species petasites japonicus subsp. giganteus and the woody introduced species larix kaempferi were identified as the dominant species that help restore vegetation, with high frequency and plant coverage in the primary succession of the landslide scar. the reproductive characteristics of these pioneer species suggest that they have an advantage for establishment and growth, particularly on landslide scars with substantial topsoil dynamics. an optimal generalized linear model was used, which considered the distance from the vegetation inside and outside the landslide scars, ground surface change, inclination angle, annual amount of solar radiation, and the local region as explanatory variables. the ideal environmental conditions for vegetation recovery are summarized as follows: 1) maximum biological legacy preserved inside and outside landslide scars. 2) vegetation recovery expected in stable areas with little erosion and accumulation. 3) vegetation recovery expected on slopes other than steep slopes or those with extremely high amounts of sunlight. the vegetation recovery conditions and rtk-uav remote-sensing techniques used in this study can be applied to vegetation restoration zoning plans immediately after a disaster in similar environments. © 2023 elsevier b.v.","10.1016/j.ecoleng.2023.107019","0925-8574 and 1872-6992","elsevier b.v.","export date: 14 november 2023; cited by: 0; correspondence address: y. nakata; graduate school of life and environmental sciences, kyoto prefectural university, kyoto, 1-5 shimogamo hangi-cho, sakyo-ku, 606-8522, japan; email: nakata-yasutaka@kpu.ac.jp; coden: ecene","jour",NA,NA,NA,"biological legacy and ground surface change and landslide scar and large-scale disturbance and primary vegetation succession and soil erosion and japan and antennas and earthquakes and forestry and kinematics and landslides and recovery and remote sensing and restoration and unmanned aerial vehicles (uav) and vegetation and biological legacies and ground surface change and ground surfaces and landslide scar and large-scale disturbance and large-scales and primary vegetation succession and soil erosion and surface changes and vegetation successions and environmental conditions and introduced species and landslide and outflow and pioneer species and primary succession and remote sensing and revegetation and seismic hazard and soil erosion and topsoil and erosion","radarweg 29, 1043 nx amsterdam, netherlands","amsterdam","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"3","scopus","article","english","law, y.k. and lee, c.k.f. and pang, c.c. and hau, b.c.h. and wu, j.","univ hong kong, sch biol sci, res area ecol & biodivers, pokfulam, hong kong, peoples r china and hong kong bird watching soc, hong kong, peoples r china and univ hong kong, inst climate & carbon neutral, pokfulam, hong kong, peoples r china and univ hong kong, sch biol sci, pokfulam, hong kong, peoples r china",2023,"vegetation regeneration on natural terrain landslides in hong kong: direct seeding of native species as a restoration tool","land degradation and development","34",NA,"landslides are common in tropical and subtropical regions with hilly terrains and heavy rainstorms, and can cause significant economic, ecological, and social impacts. natural forest succession is usually slow on landslides due to poor soil structure and lack of woody plant seeds, and often comes with a higher risk of repeated landslides. active forest restoration has been increasingly suggested as an effective alternative to restore exposed landslide scars. here, we evaluated the effectiveness of using different seed coatings and surface soil treatments on seed germination and seedling establishment of pioneer and late-successional tree species on landslide scars in hong kong. our results show that biochar-dominant seed coating boosted seed germination rate by an additional 9.33% (standard error = 0.04), while clay-dominant seed coating did not show significant effects. the effects on seedling survival were not significant in both seed coating and surface soil treatments. our results also show that large seed and later successional species have significantly higher germination rates than pioneer species and are able to successfully establish on landslide sites. these results suggest that direct seeding using a biochar seed coat with large seeds or late-successional species is a useful method to enhance tree seed germination—an essential first step to restore the forests after landslide disturbances, with potential to be extended to other humid tropical and subtropical forests. © 2022 john wiley & sons ltd.","10.1002/ldr.4492","1085-3278 and 1099-145x","john wiley and sons ltd","export date: 14 november 2023; cited by: 0; correspondence address: c.k.f. lee; school of biological sciences, university of hong kong, pokfulam, hong kong; email: leeckf@hku.hk; j. wu; school of biological sciences, university of hong kong, pokfulam, hong kong; email: jinwu@hku.hk","jour","3","751","762","biochar and carbon science and direct seeding and forest restoration and landslide and seed coating and china and hong kong and carbon and coatings and conservation and cultivation and landslides and reforestation and restoration and soils and storms and tropics and biochar and carbon science and direct-seeding and forest restoration and germination rates and hong-kong and seed coating and seed germination and soil treatments and surface soil and biochar and environmental restoration and germination and landslide and native species and seed and seedling establishment and vegetation dynamics and seed","111 river st, hoboken 07030-5774, nj usa","hoboken","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"4","scopus","article","english","xiang, z. and dou, j. and yunus, a.p. and zhang, l. and wang, x. and luo, w.","badong national observation and research station of geohazards, china university of geosciences, wuhan, 430074, china and state key laboratory of hydraulics and mountain river engineering, sichuan university, chengdu, 610065, china and department of earth and environmental sciences, indian institute of science education and research mohali, punjab, 140 306, india",2023,"vegetation-landslide nexus and topographic changes post the 2004 mw 6.6 chuetsu earthquake","catena","223","106946","ground shaking on steep slopes often triggers numerous landslides, which dramatically modify the landscape and have long-term effects on vegetation dynamics. however, we still have a limited understanding of the quantitative topographic evolution and the duration of post-seismic impacts on the landscapes due to the lack of long-term consistent observation, especially in low-elevation mountain regions. to address this issue, we used high-resolution pre-and post-earthquake dems to investigate topographic changes, as well as multi-period and multi-scale remote sensing images to analyze the post-seismic landslides and vegetation recovery in the sites affected by the mw 6.6 2004 chuetsu earthquake, japan. using a vegetation recovery rate (vrr) time series from 2004 to 2021, we examined the decaying tendency of post-seismic landslide activities and predicted the vegetation recovery rate. our findings indicate that the chuetsu earthquake mostly steepens and roughens the terrain in low-elevation areas. the changes to slope aspects are associated with coseismic lateral displacement. the vegetation damage area accounted for 87.98 % of the entire area after the earthquake, and the vrr reaches 85.55 % by june 2021. the number of active landslides decreased to 14.45 % after 15 years. meanwhile, we predict that vegetation recovery areas will be restored to pre-earthquake levels in 2024, and the landslide activity rate will decrease by less than 1 % in 2026, indicating a stable hillslope devoid of debris flows in the future. © 2023 elsevier b.v.","10.1016/j.catena.2023.106946","0341-8162 and 1872-6887","elsevier b.v.","export date: 14 november 2023; cited by: 3; correspondence address: j. dou; badong national observation and research station of geohazards, china university of geosciences, wuhan, 430074, china; email: doujie@cug.edu.cn; coden: cijpd","jour",NA,NA,NA,"chuetsu earthquake and lidar dem and landslide behavior and vegetation recovery and post -seismic landslide evolution and niigata prefecture earthquake and chi-chi-earthquake and wenchuan earthquake and spatial-distribution and kashmir earthquake and shear-strength and area and recovery and erosion and impacts","radarweg 29, 1043 nx amsterdam, netherlands","amsterdam","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"5","scopus","article","english","chen, s. and hua, j. and liu, w. and yang, s. and wang, x. and ji, w.","college of landscape architecture and arts, northwest a&f university, xianyang, 712100, china",2023,"effects of artificial restoration and natural recovery on plant communities and soil properties across different temporal gradients after landslides","forests","14","1974","landslides cause significant disturbances to mountainous ecosystems and human activities. due to climate change, the frequency of landslides as secondary disasters has notably increased compared to the past. further exploration is needed to understand the effects of different restoration methods on post-landslide plant communities and soil properties over different periods of time. in this regard, we selected lantian county in the northern foothills of the qinling mountains as our study area. we conducted surveys on artificially restored and naturally recovered plots at 1, 6, and 11 years after landslide events. undamaged areas were chosen nearby as control plots. we identified vegetation types and species diversity after artificial and natural recovery and further analyzed the impact of different restoration strategies on vegetation patterns and soil properties. the research results indicate that, compared with natural recovery, artificial restoration can more quickly improve vegetation and soil. with the increasing time gradient, the average ground cover of the herbaceous layer in natural recovery decreased gradually from 47% at year one to 34% at year eleven. in contrast, in artificial restoration, the average ground cover of the herbaceous layer increased from 27% at year one to 44% at year eleven. for the shrub layer, in natural recovery, the average ground cover gradually increased to 39% over eleven years. while in artificial restoration, the average ground cover for the shrub layer gradually increased to 46% over the same period. in the artificial restoration plots, soil ph gradually increased (from 6.2 to 8.2), while tn content gradually decreased (from 1.7 g/kg to 0.9 g/kg). similarly, tk content decreased (from 22.4 g/kg to 14.5 g/kg), and ap content showed a decreasing trend (from 20.7 mg/kg to 11.4 mg/kg). in the natural recovery plots, dna content gradually increased (from 3.2 μg/g/d to 142.6 μg/g/d), and sc content gradually increased as well (from 2.4 mg/d/g to 23.1 mg/d/g). in contrast, on sites undergoing natural recovery, the short-term restoration rates of vegetation and soil are lower, but they show greater stability over a longer time. this study provides a new perspective on vegetation restoration strategies and is expected to offer insights for the optimization of post-landslide recovery in the future. © 2023 by the authors.","10.3390/f14101974","19994907 (issn)","multidisciplinary digital publishing institute (mdpi)","export date: 14 november 2023; cited by: 0; correspondence address: w. ji; college of landscape architecture and arts, northwest a&f university, xianyang, 712100, china; email: jiwenli@nwafu.edu.cn","jour","10",NA,NA,"ecological restoration and landslide and restoration strategy and soil characteristics and vegetation characteristics and contrast and ecosystems and ground cover and plants and recovery and restoration and soil and china and lantian and qinling mountains and shaanxi and climate change and ecosystems and landslides and recovery and restoration and soil surveys and soils and ecological restoration and ground covers and herbaceous layer and natural recovery and plant communities and restoration strategies and shrub layers and soil characteristics and soil property and vegetation characteristic and landslide and plant community and restoration ecology and soil property and species diversity and vegetation and vegetation","st alban-anlage 66, ch-4052 basel, switzerland","basel","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"6","scopus","article","english","šilhán, k.","department of physical geography and geoecology, faculty of science, university of ostrava, chittussiho 10, ostrava, czech republic",2023,"is tree-ring anatomy the key? searching for an optimal dendrogeomorphic approach to distinguish shallow creep and true slide movements","catena","232","107466","tree-ring based chronologies of slide movements can serve as an important basis for determining landslide activity, assessing risk and triggers, or potentially predicting future landslide behaviour. unfortunately, however, the landslide areas studied are often affected by another type of slope movement, namely creep, which can introduce a considerable amount of noise into the resulting chronology. thus, this study focused on testing different dendrogeomorphic approaches for the extraction of landslide signal from tree-ring series with respect to their ability to filter out the influence of creep movements and slide movements. for this purpose, 45 trees (fagus sylvatica l. and acer pseudoplatanus l.) growing on the steep slope of a sub-landslide block whose movement has been monitored for a long time and for which a single landslide event is known (second half of 2010) were sampled. the first tested approach was based on changing tree-ring eccentricity values and has shown its very high sensitivity to all slope movements and is therefore not applicable for creep filtering and slide movements unsuitable on steep slopes. the second approach, using macroscopic identification of the tension tree, proved to be the most suitable, accurately detecting the slide event and successfully filtering out all creep-induced noise. a final approach based on the detection of sudden anatomical changes in tree rings (independent of the presence of tension wood) also captured high amounts of noise and also slide event. its use would be possible in the case of a suitably set event-response index threshold. the study also includes a discussion of the general effect of creep movements on tree growth, the limitations and advantages of each approach, and recommendations for future research. © 2023 elsevier b.v.","10.1016/j.catena.2023.107466","0341-8162 and 1872-6887","elsevier b.v.","times cited in web of science core collection:  0 and total times cited:  0 and cited reference count:  64","jour",NA,NA,NA,"dendrogeomorphology and landslide and creep and tree-ring anatomy and signal vs. noise and soil-creep and complex landslide and mass movement and tension-wood and time-series and debris-flow and slope and mountains and patterns and dendrochronology","radarweg 29, 1043 nx amsterdam, netherlands","amsterdam","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,FALSE,TRUE,TRUE,"selected"
"7","scopus","article","english","zhong, c. and oguchi, t. and lai, r.","graduate school of frontier sciences, the university of tokyo, 5-1-5 kashiwanoha, chiba, kashiwa, 277-8561, japan and center for spatial information science, the university of tokyo, 5-1-5 kashiwanoha, chiba, kashiwa, 277-8568, japan and research institute for global change, japan agency for marine-earth science and technology (jamstec), 3173-25 showa-machi, kanazawa-ku, yokohama, 236-0001, japan",2023,"effects of topography on vegetation recovery after shallow landslides in the obara and shobara districts, japan","remote sensing","15","3994","intense rainfall-induced shallow landslides can have severe consequences, including soil erosion and vegetation loss, making in-depth research essential for disaster risk management. however, vegetation recovery processes after shallow landslides and their influencing multivariate factors are not well known. this study aims to address this gap by investigating the vegetation recovery processes after shallow landslides and the impact of topography on this recovery. we focus on two regions in japan: the shobara district in hiroshima prefecture and the obara district in aichi prefecture. the normalized difference vegetation index (ndvi) and enhanced vegetation index (evi) derived from long-term landsat images, as well as aerial photographs and environmental datasets, are used to measure vegetation recovery. then, statistical analysis and the seasonal autoregressive integrated moving averages (sarima) model were employed to investigate the dynamic response of vegetation under different combinations of environmental conditions using ndvi and evi time series. historical aerial photographs and vegetation index trend analysis suggest that vegetation in the study areas will take more than ten years to return to a stable state. the results also demonstrate the influence of atmospheric and land cover conditions when monitoring vegetation response using ndvi and evi. in obara, concave and convergent terrain positively influenced ndvi, while non-steep, low-elevation, and north-facing terrain positively influenced evi. in shobara, gentle and northwest-facing slopes were positively correlated with ndvi, and gentle and west-facing slopes were positively correlated with evi. sarima modeling found that ndvi is more suitable for modeling the middle and late stages of vegetation recovery within 10–25 years after the landslide. in comparison, evi is better for modeling the early stage of vegetation recovery within 10 years after the landslide. © 2023 by the authors.","10.3390/rs15163994","20724292 (issn)","multidisciplinary digital publishing institute (mdpi)","export date: 14 november 2023; cited by: 0; correspondence address: c. zhong; graduate school of frontier sciences, the university of tokyo, kashiwa, 5-1-5 kashiwanoha, chiba, 277-8561, japan; email: zhongcx@csis.u-tokyo.ac.jp","jour","16",NA,NA,"landsat and sarima and shallow landslides and topography and vegetation indices and vegetation recovery and aerial photography and antennas and image enhancement and landslides and photographic equipment and recovery and risk management and time series analysis and topography and vegetation and aerial photographs and enhanced vegetation index and landsat and moving average model and normalized difference vegetation index and recovery process and seasonal autoregressive integrated moving averages and shallow landslide and vegetation index and vegetation recovery and landsat","st alban-anlage 66, ch-4052 basel, switzerland","basel","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"8","scopus","article","english","lin, w.-t. and huang, p.-h. and chou, t.-y.","master program of green technology for sustainability, nanhua university, chiayi county, 62249, taiwan and geographic information systems research center, feng chia university, taichung city, 40724, taiwan",2023,"mechanisms of vegetation restoration at landslides caused by a catastrophic earthquake in central taiwan","ecological engineering","190","106929","the vegetation restoration of a large-scale landslide, triggered by the catastrophic earthquake on 21 september 1999, in jiujiu peaks, central taiwan with an impacted area of 821 ha recovered 80% by 2020 was studied using self-organizing map (som) coupled with multi-temporal spot satellite images and a terrain-based distribution index for a 20-year period. although disturbed by several typhoons during two decades of natural vegetation succession, the landslide restoration rate has reached 87.5% with the invasion or regrowth of vegetation gradually. a predicted logarithmic model with statistically significant difference was derived to estimate the restoration trend of the landslide in the studied area. most of the poorly vegetated areas are located along the ridgelines, as verified by field surveys. landslide restoration was carried out in three stages, (1) vulnerable landslides and fast-growing invasive vegetation (1999/9 - 2005/9); (2) stabilized landslides and slow-growing vegetation toward the vegetated strips (2005/9 - 2009/11); and (3) more stabilized landslides and vegetation toward secondary forest (2009/11–2020/2). topographic location, water supply, typhoon disturbance, invasive or residual vegetation patterns and succession time are the main factors of landslide restoration. the evaluated results indicate that nature itself is a complex ecological balance system with a strong capacity for vegetation recovery at landslides, and can be used by government agencies to add in the recovery of landslide areas. © 2023 elsevier b.v.","10.1016/j.ecoleng.2023.106929","0925-8574 and 1872-6992","elsevier b.v.","export date: 14 november 2023; cited by: 2; correspondence address: p.-h. huang; geographic information systems research center, feng chia university, taichung city, 40724, taiwan; email: pinky@gis.tw; coden: ecene","jour",NA,NA,NA,"landslide change analysis and landslide restoration rate and self-organizing map and taiwan and conformal mapping and debris and earthquakes and forestry and hurricanes and landslides and recovery and self organizing maps and vegetation and water supply and catastrophic earthquake and change analysis and landslide change analyse and landslide restoration rate and large-scale landslides and multi-temporal and satellite images and self-organizing-maps and vegetation restoration and vegetation successions and catastrophic event and earthquake and field survey and invasive species and map and restoration ecology and satellite imagery and spot and succession and trigger mechanism and restoration","radarweg 29, 1043 nx amsterdam, netherlands","amsterdam","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"9","scopus","article","english","furusawa, j. and makoto, k. and utsumi, s.","hokkaido univ, grad sch environm sci, sapporo, japan and hokkaido univ, field sci ctr northern biosphere, nayoro res off, nayoro, japan and hokkaido univ, field sci ctr northern biosphere, sapporo, japan and hokkaido univ, field sci ctr northern biosphere, kita 9,nishi 9, sapporo, hokkaido 0600809, japan",2023,"a large-scale field experiment of artificially caused landslides with replications revealed the response of the ground-dwelling beetle community to landslides","ecology and evolution","13","e9939","precipitation-induced landslides, which are predicted to increase under the changing climate, may have large impacts on insect community properties. however, understanding of how insect community properties shift following landslides remains limited because replicated research involving landslides, which are large-scale disturbances with stochastic natural causes, is difficult. to tackle this issue, we conducted a large-scale field experiment by artificially causing landslides at multiple sites. we established 12 landslide sites, each 35 m × 35 m, and 6 undisturbed sites in both planted and natural forests and collected ground-dwelling beetles 1 year later. we found that forest type (i.e., pre-disturbance vegetation) did not affect the structure of a ground-dwelling beetle community disturbed by a landslide (landslide community), but the structure of an undisturbed community was affected by forest type. moreover, the structures of landslide and undisturbed communities were completely different, possibly because landslides create harsh environments that act as an ecological filter. thus, a niche-selection process may have a critical role in community assembly at landslide sites. there were no significant differences in species diversity between undisturbed and landslide communities, suggesting that landslides to not reduce species richness overall. however, among-site variability in species composition was much greater at landslide sites than at undisturbed sites. this result suggests that stochastic colonization predominated at the landslide sites more than undisturbed sites. synthesis and applications. overall, our results suggest that both deterministic and stochastic processes are critical in community assembly, at least in the early post-landslide stage. our large-scale manipulative field experiment with replications has thus resulted in new insights into biological community properties after a landslide. © 2023 the authors. ecology and evolution published by john wiley & sons ltd.","10.1002/ece3.9939","20457758 (issn)","john wiley and sons ltd","export date: 14 november 2023; cited by: 2; correspondence address: s. utsumi; field science center for northern biosphere, hokkaido university, sapporo, kita 9, nishi 9, hokkaido, 0600809, japan; email: utsumi@fsc.hokudai.ac.jp","jour","3",NA,NA,"cool-temperate climate and dispersal and ecological drift and ecological restoration and landslide and metacommunity and mixed forest and pitfall trap and carabid beetles and vegetation recovery and ecosystem services and coleoptera and diversity and disturbance and succession and forests and plant and biodiversity","111 river st, hoboken 07030-5774, nj usa","hoboken","science citation index expanded (sci-expanded)",NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
"10","scopus","article","english","ohwaki, a. and ishikawa, t. and morita, s. and okatsu, y. and nakano, y. and sakio, h.","college of arts and sciences, j. f. oberlin university, 3758 tokiwa-machi, machida, tokyo, 194-0294, japan and tadami beech center, 2590 machishita, tadami, tadami-machi, fukushima, 968-0421, japan and higashi-gotanda 5-19-7, shinagawa-ku, tokyo, 141-0022, japan and sado island center for ecological sustainability, niigata university, 94-2 koda, sado, niigata, 952-2206, japan",2023,"the effects of heterogeneity created by treefall, landslide, and stream on ground beetle assemblages in a primary beech forest","forest ecology and management","547","121394","old-growth forests play essential roles in maintaining biodiversity and providing ecosystem services. while heterogeneity produced by various natural disturbances and micro-topography is an integral part of old-growth forest ecosystems, the effects of such natural disturbances and heterogeneity on arthropod diversity in old-growth forests are not fully understood. in this study, we evaluated how the heterogeneity produced by treefalls, landslides, and streams influences ground beetle diversity in an old-growth beech forest in the tadami biosphere reserve, japan. fourteen plots composed of five forest interior, three treefall gaps, three landslides, and three along a stream were established, with 15 pitfall traps installed in each plot. traps were opened for two days in each season. the results showed that canopy openness was the highest in landslide gaps, whereas litter depth was the lowest along the stream. species richness was lowest along the stream but was similarly high in the other three habitat types. the activity density of beetles was also lowest along the stream, but highest in the landslide gaps. landslide gaps and streams had distinct species compositions and several indicator species, respectively, indicating that soil disturbances involved in landslides and repeated overflow by snowmelt and heavy rain along the stream provide specific environmental conditions that differ from the forest interior and treefall gaps. this study demonstrates that heterogeneity derived from natural disturbances and streams enhances biodiversity in old-growth forests. these findings can be used to develop management measures that mimic natural disturbances in order to conserve biodiversity in managed forests. © 2023 elsevier b.v.","10.1016/j.foreco.2023.121394","03781127 (issn)","elsevier b.v.","export date: 14 november 2023; cited by: 0; correspondence address: a. ohwaki; college of arts and sciences, j. f. oberlin university, machida, tokyo, 3758 tokiwa-machi, 194-0294, japan; email: ohwaki_a@obirin.ac.jp; coden: fecmd","jour",NA,NA,NA,"canopy gap and carabidae and ground arthropods and natural disturbance and tadami biosphere reserve and biodiversity and ecosystems and forestry and forests and growth and heterogeneity and rivers and topography and japan and biospherics and ecosystems and forestry and landslides and topography and beech forest and biosphere reserve and canopy gaps and carabidae and forest interiors and ground arthropod and ground beetles and natural disturbance and old-growth forest and tadami biosphere reserve and arthropod and beetle and biodiversity and canopy gap and environmental conditions and heterogeneity and landslide and old-growth forest and snowmelt and treefall and biodiversity",NA,NA,NA,NA,"raw_data/2023-11-14_scopus.ris",1,TRUE,TRUE,TRUE,"selected"
